"Ubigeo","Distrito","conteoIE"
"010101","CHACHAPOYAS",76
"010102","ASUNCION",4
"010103","BALSAS",19
"010104","CHETO",6
"010105","CHILIQUIN",9
"010106","CHUQUIBAMBA",25
"010107","GRANADA",6
"010108","HUANCAS",4
"010109","LA JALCA",43
"010110","LEIMEBAMBA",27
"010111","LEVANTO",5
"010112","MAGDALENA",3
"010113","MARISCAL CASTILLA",10
"010114","MOLINOPAMPA",26
"010115","MONTEVIDEO",4
"010116","OLLEROS",5
"010117","QUINJALCA",11
"010118","SAN FRANCISCO DE DAGUAS",4
"010119","SAN ISIDRO DE MAINO",8
"010120","SOLOCO",13
"010121","SONCHE",5
"010201","BAGUA",63
"010202","ARAMANGO",114
"010203","COPALLIN",43
"010204","EL PARCO",7
"010205","IMAZA",324
"010206","LA PECA",104
"010301","JUMBILLA",9
"010302","CHISQUILLA",4
"010303","CHURUJA",3
"010304","COROSHA",9
"010305","CUISPES",6
"010306","FLORIDA",30
"010307","JAZAN",37
"010308","RECTA",1
"010309","SAN CARLOS",2
"010310","SHIPASBAMBA",11
"010311","VALERA",9
"010312","YAMBRASBAMBA",48
"010401","NIEVA",259
"010402","EL CENEPA",128
"010403","RIO SANTIAGO",144
"010501","LAMUD",13
"010502","CAMPORREDONDO",34
"010503","COCABAMBA",28
"010504","COLCAMAR",16
"010505","CONILA",15
"010506","INGUILPATA",5
"010507","LONGUITA",6
"010508","LONYA CHICO",10
"010509","LUYA",27
"010510","LUYA VIEJO",3
"010511","MARIA",9
"010512","OCALLI",23
"010513","OCUMAL",35
"010514","PISUQUIA",70
"010515","PROVIDENCIA",23
"010516","SAN CRISTOBAL",5
"010517","SAN FRANCISCO DEL YESO",6
"010518","SAN JERONIMO",7
"010519","SAN JUAN DE LOPECANCHA",7
"010520","SANTA CATALINA",16
"010521","SANTO TOMAS",29
"010522","TINGO",10
"010523","TRITA",10
"010601","SAN NICOLAS",15
"010602","CHIRIMOTO",29
"010603","COCHAMAL",4
"010604","HUAMBO",15
"010605","LIMABAMBA",14
"010606","LONGAR",5
"010607","MARISCAL BENAVIDES",9
"010608","MILPUC",5
"010609","OMIA",97
"010610","SANTA ROSA",4
"010611","TOTORA",3
"010612","VISTA ALEGRE",27
"010701","BAGUA GRANDE",261
"010702","CAJARURO",199
"010703","CUMBA",76
"010704","EL MILAGRO",43
"010705","JAMALCA",75
"010706","LONYA GRANDE",85
"010707","YAMON",35
"020101","HUARAZ",187
"020102","COCHABAMBA",22
"020103","COLCABAMBA",2
"020104","HUANCHAY",29
"020105","INDEPENDENCIA",257
"020106","JANGAS",28
"020107","LA LIBERTAD",13
"020108","OLLEROS",20
"020109","PAMPAS GRANDE",13
"020110","PARIACOTO",39
"020111","PIRA",30
"020112","TARICA",33
"020201","AIJA",23
"020202","CORIS",29
"020203","HUACLLAN",6
"020204","LA MERCED",28
"020205","SUCCHA",9
"020301","LLAMELLIN",28
"020302","ACZO",21
"020303","CHACCHO",14
"020304","CHINGAS",15
"020305","MIRGAS",47
"020306","SAN JUAN DE RONTOY",12
"020401","CHACAS",47
"020402","ACOCHACA",34
"020501","CHIQUIAN",16
"020502","ABELARDO PARDO LEZAMETA",3
"020503","ANTONIO RAYMONDI",12
"020504","AQUIA",20
"020505","CAJACAY",13
"020506","CANIS",2
"020507","COLQUIOC",16
"020508","HUALLANCA",28
"020509","HUASTA",20
"020510","HUAYLLACAYAN",14
"020511","LA PRIMAVERA",4
"020512","MANGAS",5
"020513","PACLLON",6
"020514","SAN MIGUEL DE CORPANQUI",3
"020515","TICLLOS",5
"020601","CARHUAZ",78
"020602","ACOPAMPA",9
"020603","AMASHCA",8
"020604","ANTA",17
"020605","ATAQUERO",12
"020606","MARCARA",37
"020607","PARIAHUANCA",8
"020608","SAN MIGUEL DE ACO",16
"020609","SHILLA",12
"020610","TINCO",9
"020611","YUNGAR",15
"020701","SAN LUIS",91
"020702","SAN NICOLAS",39
"020703","YAUYA",41
"020801","CASMA",93
